question,references
What significant regulatory changes and proposals has President Biden's administration implemented or announced regarding fees and pricing transparency?,"[{""content"": ""My administration announced we\u2019re cutting credit card late fees from $32 to $8."", ""start_index"": 27346, ""end_index"": 27425}, {""content"": ""My administration has proposed rules to make cable, travel, utilities, and online ticket sellers tell you the total price up front so there are no surprises."", ""start_index"": 27866, ""end_index"": 28023}]"
What reasons did President Biden give for the failure of a particular bill's passage?,"[{""content"": ""But unfortunately, politics have derailed this bill so far."", ""start_index"": 29533, ""end_index"": 29592}, {""content"": ""I\u2019m told my predecessor called members of Congress in the Senate to demand they block the bill. He feels political win \u2014 he viewed it as a \u2014 it would be a political win for me and a political loser for him."", ""start_index"": 29594, ""end_index"": 29800}]"
How many people are no longer denied health insurance due to preexisting conditions according to President Biden?,"[{""content"": ""Over 100 million of you can no longer be denied health insurance because of a preexisting condition."", ""start_index"": 16996, ""end_index"": 17096}]"
"Which country is Putin invading, causing chaos in Europe and beyond?","[{""content"": ""Overseas, Putin of Russia is on the march, invading Ukraine and sowing chaos throughout Europe and beyond."", ""start_index"": 1039, ""end_index"": 1145}]"
When did the murder rate experience the sharpest decrease in history and how did violent crime rates change?,"[{""content"": ""Last year, the murder rate saw the sharpest decrease in history. Violent crime fell to one of its lowest levels in more than 50 years."", ""start_index"": 35632, ""end_index"": 35766}]"
What is the name of the new health research agency mentioned in President Biden's State of the Union Address that aims to do big things like ending cancer?,"[{""content"": ""And we owe it to ourselves to keep supporting our new health research agency called ARPA-H \u2014 and remind us \u2014 to remind us that we can do big things, like end cancer as we know it. And we will."", ""start_index"": 44220, ""end_index"": 44412}]"
"According to President Biden, what is the current status of China compared to the past decade?","[{""content"": ""China is down to the lowest point in over a decade."", ""start_index"": 42669, ""end_index"": 42720}]"
What type of investment is being made by private companies in America according to President Biden's address?,"[{""content"": ""Well, instead of having to import them, instead of \u2014 private companies are now investing billions of dollars to build new chip factories here in America creating tens of thousands of jobs, many of those jobs paying $100,000 a year and don\u2019t require a college degree."", ""start_index"": 10656, ""end_index"": 10922}]"
"At what age did President Biden get elected to the United States Senate, and was it planned?","[{""content"": ""I got elected to the United States Senate when I had no intention of running, at age 29."", ""start_index"": 45907, ""end_index"": 45995}]"
What does President Biden refuse to do regarding the events of January 6th?,"[{""content"": ""My predecessor and some of you here seek to bury the truth about January 6th. I will not do that."", ""start_index"": 3786, ""end_index"": 3883}]"
What types of professionals and methods did President Biden mention investing in to address community safety?,"[{""content"": ""invest in more community police officers, more mental health workers, more community violence intervention."", ""start_index"": 35815, ""end_index"": 35922}]"
How many new jobs were created in the first three years mentioned in President Biden's address?,"[{""content"": ""Fifteen million new jobs in just three years."", ""start_index"": 8809, ""end_index"": 8854}]"
"As of the statement, how much has the racial wealth gap decreased?","[{""content"": ""The racial wealth gap is the smallest it\u2019s been in 20 years."", ""start_index"": 9369, ""end_index"": 9429}]"
Which late friend and former colleague of many present at the event was mentioned as having participated in the march?,"[{""content"": ""John Lewis was on that march. We miss him."", ""start_index"": 32928, ""end_index"": 32970}]"
"How long is the waiting period for a hearing for those let into the country, according to President Biden's statement?","[{""content"": ""by \u2014 if they get by and let into the country, it\u2019s six to eight years before they have a hearing."", ""start_index"": 30571, ""end_index"": 30668}]"
How much has President Biden signed to cut from the federal deficit in the next decade through a bipartisan deal?,"[{""content"": ""I signed a bipartisan deal to cut another trillion dollars in the next decade."", ""start_index"": 22232, ""end_index"": 22310}]"
What provisions does the bipartisan bill include to address security and immigration case backlogs?,"[{""content"": ""That bipartisan bill would hire 1,500 more security agents and officers, 100 more immigration judges to help tackle the backload of 2 million cases, 4,300 more asylum officers, and new policies so they can resolve cases in six months instead of six years now."", ""start_index"": 28473, ""end_index"": 28732}]"
